J-Date,Date,Weekday,Symbol,Open
1389-08-10,11/1/2010,Monday,سکه امامی,3400000
1389-08-11,11/2/2010,Tuesday,سکه امامی,3400000
1389-08-12,11/3/2010,Wednesday,سکه امامی,3390000
1389-08-14,11/5/2010,Friday,سکه امامی,3380000
1389-08-15,11/6/2010,Saturday,سکه امامی,3460000
1389-08-16,11/7/2010,Sunday,سکه امامی,3460000
1389-08-17,11/8/2010,Monday,سکه امامی,3460000
1389-08-18,11/9/2010,Tuesday,سکه امامی,3500000
1389-08-19,11/10/2010,Wednesday,سکه امامی,3470000
1389-08-21,11/12/2010,Friday,سکه امامی,3480000
1389-08-22,11/13/2010,Saturday,سکه امامی,3410000
1389-08-23,11/14/2010,Sunday,سکه امامی,3420000
1389-08-24,11/15/2010,Monday,سکه امامی,3420000
1389-08-26,11/17/2010,Wednesday,سکه امامی,3420000
1389-08-28,11/19/2010,Friday,سکه امامی,3410000
1389-08-30,11/21/2010,Sunday,سکه امامی,3400000
1389-09-01,11/22/2010,Monday,سکه امامی,3410000
1389-09-02,11/23/2010,Tuesday,سکه امامی,3410000
1389-09-05,11/26/2010,Friday,سکه امامی,3420000
1389-09-06,11/27/2010,Saturday,سکه امامی,3400000
1389-09-07,11/28/2010,Sunday,سکه امامی,3400000
1389-09-08,11/29/2010,Monday,سکه امامی,3410000
1389-09-09,11/30/2010,Tuesday,سکه امامی,3410000
1389-09-13,12/4/2010,Saturday,سکه امامی,3500000
1389-09-14,12/5/2010,Sunday,سکه امامی,3490000
1389-09-15,12/6/2010,Monday,سکه امامی,3490000
1389-09-16,12/7/2010,Tuesday,سکه امامی,3510000
1389-09-17,12/8/2010,Wednesday,سکه امامی,3500000
1389-09-18,12/9/2010,Thursday,سکه امامی,3470000
1389-09-20,12/11/2010,Saturday,سکه امامی,3480000
1389-09-21,12/12/2010,Sunday,سکه امامی,3480000
1389-09-22,12/13/2010,Monday,سکه امامی,3480000
1389-09-26,12/17/2010,Friday,سکه امامی,3490000
1389-09-27,12/18/2010,Saturday,سکه امامی,3470000
1389-09-28,12/19/2010,Sunday,سکه امامی,3470000
1389-09-29,12/20/2010,Monday,سکه امامی,3490000
1389-09-30,12/21/2010,Tuesday,سکه امامی,3480000
1389-10-01,12/22/2010,Wednesday,سکه امامی,3500000
1389-10-03,12/24/2010,Friday,سکه امامی,3500000
1389-10-04,12/25/2010,Saturday,سکه امامی,3500000
1389-10-05,12/26/2010,Sunday,سکه امامی,3510000
1389-10-06,12/27/2010,Monday,سکه امامی,3530000
1389-10-07,12/28/2010,Tuesday,سکه امامی,3550000
1389-10-08,12/29/2010,Wednesday,سکه امامی,3600000
1389-10-10,12/31/2010,Friday,سکه امامی,3650000
1389-10-11,1/1/2011,Saturday,سکه امامی,3660000
1389-10-12,1/2/2011,Sunday,سکه امامی,3640000
1389-10-13,1/3/2011,Monday,سکه امامی,3620000
1389-10-14,1/4/2011,Tuesday,سکه امامی,3640000
1389-10-15,1/5/2011,Wednesday,سکه امامی,3600000
1389-10-17,1/7/2011,Friday,سکه امامی,3600000
1389-10-18,1/8/2011,Saturday,سکه امامی,3580000
1389-10-19,1/9/2011,Sunday,سکه امامی,3590000
1389-10-20,1/10/2011,Monday,سکه امامی,3610000
1389-10-21,1/11/2011,Tuesday,سکه امامی,3625000
1389-10-22,1/12/2011,Wednesday,سکه امامی,3670000
1389-10-24,1/14/2011,Friday,سکه امامی,3650000
1389-10-25,1/15/2011,Saturday,سکه امامی,3600000
1389-10-26,1/16/2011,Sunday,سکه امامی,3610000
1389-10-27,1/17/2011,Monday,سکه امامی,3600000
1389-10-28,1/18/2011,Tuesday,سکه امامی,3620000
1389-10-29,1/19/2011,Wednesday,سکه امامی,3610000
1389-11-01,1/21/2011,Friday,سکه امامی,3600000
1389-11-02,1/22/2011,Saturday,سکه امامی,3570000
1389-11-03,1/23/2011,Sunday,سکه امامی,3550000
1389-11-05,1/25/2011,Tuesday,سکه امامی,3560000
1389-11-06,1/26/2011,Wednesday,سکه امامی,3540000
1389-11-08,1/28/2011,Friday,سکه امامی,3570000
1389-11-09,1/29/2011,Saturday,سکه امامی,3560000
1389-11-10,1/30/2011,Sunday,سکه امامی,3560000
1389-11-11,1/31/2011,Monday,سکه امامی,3560000
1389-11-15,2/4/2011,Friday,سکه امامی,3570000
1389-11-16,2/5/2011,Saturday,سکه امامی,3600000
1389-11-17,2/6/2011,Sunday,سکه امامی,3580000
1389-11-18,2/7/2011,Monday,سکه امامی,3580000
1389-11-19,2/8/2011,Tuesday,سکه امامی,3570000
1389-11-20,2/9/2011,Wednesday,سکه امامی,3580000
1389-11-22,2/11/2011,Friday,سکه امامی,3580000
1389-11-23,2/12/2011,Saturday,سکه امامی,3580000
1389-11-24,2/13/2011,Sunday,سکه امامی,3570000
1389-11-25,2/14/2011,Monday,سکه امامی,3570000
1389-11-26,2/15/2011,Tuesday,سکه امامی,3570000
1389-11-27,2/16/2011,Wednesday,سکه امامی,3595000
1389-11-29,2/18/2011,Friday,سکه امامی,3610000
1389-11-30,2/19/2011,Saturday,سکه امامی,3630000
1389-12-02,2/21/2011,Monday,سکه امامی,3620000
